CONCESIONARIO,ID LOCALIDAD,DIRECCION,NOMBRE,FECHA VIG,LONGITUD,LATITUD
PromoAmbiental (ASE01),1,CALLE 106 CRA 7,CANTON NORTE,Nov-21,-74.035812744292,4.6852697079148
PromoAmbiental (ASE01),2,CALLE 82 CRA 16,CLINICA COUNTRY,Nov-21,-74.057123944031,4.6678051702762
PromoAmbiental (ASE01),3,CRA 7 No. 36-39,UNIVERSIDAD JAVERIANA,Nov-21,-74.066375658295,4.6233266623614
PromoAmbiental (ASE01),2,CRA 7 No. 40 - 62,HOSPITAL SAN IGNACIO,Nov-21,-74.065992931235,4.6282214597086
PromoAmbiental (ASE01),2,CRA 5 CALLE 49,HOSPITAL MILITAR CENTRAL,Nov-21,-74.062248881627,4.6355465190042
PromoAmbiental (ASE01),2,CALLE 52 No. 13 - 70,EXITO CHAPINERO,Nov-21,-74.06616933529,4.6403529172864
PromoAmbiental (ASE01),2,CALLE 49 No. 9 - 42,CLINICA DE MARLY,Nov-21,-74.064645565221,4.6361159628832
PromoAmbiental (ASE01),3,CRA 9 No. 1- 95 SUR,HOSPITAL SAN IGNACIO,Nov-21,-74.083821685258,4.5886157484127
PromoAmbiental (ASE01),4,CALLE 21 No. 5A - 34 SUR,EXITO 20 DE JULIO,Nov-21,-74.092001170787,4.5719782221405
PromoAmbiental (ASE01),4,CRA 5A No. 30D - 25 SUR,PORTAL 20 DE JULIO,Nov-21,-74.097064822342,4.5664747769347
PromoAmbiental (ASE01),5,AV. CRA 14 CALLE 65 Y 68 SU,PORTAL USME,Nov-21,-74.1211094419,4.5303460245706
PromoAmbiental (ASE01),4,CRA 8 No. 1-55 SUR,HOSPITAL SAMARITANA,Nov-21,-74.084706850859,4.588075521135
PromoAmbiental (ASE01),3,CRA 13A No. 28- 38,EDIFICIO PARQUE CENTRAL BAVARI,Nov-21,-74.072374556624,4.6157360728901
PromoAmbiental (ASE01),3,CRA 13A No. 31-32,EDIFICIO BAVARO,Nov-21,-74.070411749693,4.6193293100896
PromoAmbiental (ASE01),3,CRA 13 No. 30 - 99,COLEGIO MARIA AUXILIADORA,Nov-21,-74.070603342967,4.6189548323275
PromoAmbiental (ASE01),3,CRA 13 No. 28-01,HOTEL PLAZA REAL,Nov-21,-74.072197050652,4.6160286805121
PromoAmbiental (ASE01),3,CRA 13 No. 27 - 50,BANCO OCCIDENTE,Nov-21,-74.072458314207,4.6154713182616
PromoAmbiental (ASE01),3,CRA 13A No. 26,CENTRO DE CONVENCIONES,Nov-21,-74.072667325051,4.6154887358319
PromoAmbiental (ASE01),3,CRA 13 No. 27 - 98,CENTRO INTERNACIONAL,Nov-21,-74.072127380371,4.6156280763945
PromoAmbiental (ASE01),3,CRA 13 No. 26 17,CENTRO INTERNACIONAL TEQUENDAM,Nov-21,-74.072423479067,4.6152797249879
PromoAmbiental (ASE01),3,CRA 13 No. 26-45,CORFICOLOMBIANA,Nov-21,-74.072266720933,4.6154713182616
PromoAmbiental (ASE01),3,CRA 13 No. 26  00,HOTEL TEQUENDAMA,Nov-21,-74.072562819629,4.6152274722769
PromoAmbiental (ASE01),3,CALLE 28 No. 13 - 15,CENTRO DE COMERCIO INTERNACION,Nov-21,-74.072242821483,4.6156365958824
PromoAmbiental (ASE01),3,CRA 5 CALLE 34,COLEGIO SAN BARTOLOME LA MERCE,Nov-21,-74.065490147289,4.6207126824297
PromoAmbiental (ASE01),3,CALLE 32 No. 6B - 42,CENTRO COMERCIAL SAN MARTIN,Nov-21,-74.070310171963,4.6186106456074
PromoAmbiental (ASE01),3,CALLE 32 CRA 7,EXITO SAN MARTIN,Nov-21,-74.070240501682,4.6184364699041
PromoAmbiental (ASE01),3,CRA 13 No. 32-76,MINISTERIO DE SALUD,Nov-21,-74.0687756325,4.6190072612918
PromoAmbiental (ASE01),2,CL 85 # 15 -29,CARULLA COUNTRY,Nov-21,-74.055220747289,4.6700265824297
PromoAmbiental (ASE01),2,CALLE 82 CRA 16,CLINICA EL COUNTRY,Nov-21,-74.057301580371,4.6678260560742
PromoAmbiental (ASE01),2,CL 85 # 9-67,CARULLA EL RETIRO (CAF),Nov-21,-74.051563108785,4.6669512385038
PromoAmbiental (ASE01),2,CALLE 92 No. 15-34,CARULLA CHICO,Nov-21,-74.052460410435,4.6760209958824
PromoAmbiental (ASE01),1,CALLE 110 No. 9B-04,JUMBO SANTA ANA,Nov-21,-74.04050291757,4.6910232824297
PromoAmbiental (ASE01),1,AV. CRA. 9 No. 110-50,CENTRO CIAL SANTA ANA,Nov-21,-74.03883798243,4.6909435175703
PromoAmbiental (ASE01),1,8A No. 101-33,ESCUELA DE INTELIGENCIA,Nov-21,-74.04164941757,4.6819196824297
PromoAmbiental (ASE01),1,CRA 7 CALLE 110,BATALLON No. 13,Nov-21,-74.0370347,4.6902564
PromoAmbiental (ASE01),2,CRA 11 No. 100 - 27,COLEGIO BACHILLERATO PATRIA,Nov-21,-74.045590112148,4.6825293351407
PromoAmbiental (ASE01),2,CRA 11 No. 90 - 49,CARULLA EXPRESS CALLE 90,Nov-21,-74.05110351757,4.6725257824297
PromoAmbiental (ASE01),2,CR 11 # 76-19,CARULLA NOGAL,Nov-21,-74.05832611757,4.6613136648593
PromoAmbiental (ASE01),2,CRA 11 CALLE 72,UNIVERSIDAD PEDAGOGICA,Nov-21,-74.060932152711,4.6575353
PromoAmbiental (ASE01),2,CRA 10 No. 70 - 37,CARULLA QUINTA CAMACHO,Nov-21,-74.059888452711,4.6542550824297
PromoAmbiental (ASE01),2,CRA 7 CALLE 63,CARULLA CALLE 63,Nov-21,-74.0616057,4.6482045297187
PromoAmbiental (ASE01),2,CRA 7 No. 69-80,CLINICA INMACULADA,Nov-21,-74.05902708243,4.6515121351407
PromoAmbiental (ASE01),2,CRA 5 No. 78-75,CLUB EL NOGAL,Nov-21,-74.05258181757,4.6596873
PromoAmbiental (ASE01),2,CALLE 57 No. 3,POLITECNICO GRACOLOMBIANO,Nov-21,-74.059212252711,4.641438252711
PromoAmbiental (ASE01),2,CALLE 49 No. 9 - 42,CLINICA MARLY,Nov-21,-74.065029439808,4.6362174560742
PromoAmbiental (ASE01),2,CALLE 51 No. 9-29,SUBSEDE CLINICA MARLY,Nov-21,-74.064212524397,4.6378155196599
PromoAmbiental (ASE01),2,CALLE 50 No. 7-36,SUBSEDE CLINICA MARLY,Nov-21,-74.063683913577,4.6366485447995
PromoAmbiental (ASE01),2,CALLE 50 No. 9-32,SUBSEDE CLINICA MARLY,Nov-21,-74.064461539412,4.636857555364
PromoAmbiental (ASE01),2,CRA 13 No. 50 A - 04,SUBSEDES CLINICA MARLY,Nov-21,-74.065558079212,4.6377502039537
PromoAmbiental (ASE01),2,CRA 9 CALLE 47,CARULLA CALLE 47,Nov-21,-74.065274114722,4.6339880090866
PromoAmbiental (ASE01),2,CALLE 52 No. 13 - 70,EXITO CHAPINERO,Nov-21,-74.065313432882,4.6391653762352
PromoAmbiental (ASE01),2,CALLE 58 No. 13-29,CENTRAL ETB,Nov-21,-74.064592599946,4.6445342963521
PromoAmbiental (ASE01),3,CRA 7 No. 36-39,UNIVERSIDAD JAVERIANA,Nov-21,-74.066095427401,4.6239858728496
PromoAmbiental (ASE01),2,CRA 7 No. 40 - 62,HOSPITAL SAN IGNASIO,Nov-21,-74.065763407382,4.6264417870468
PromoAmbiental (ASE01),2,CALLE 45 No. 6 - 23,JAVERIANA CALLE 45,Nov-21,-74.063142196703,4.6311968307425
PromoAmbiental (ASE01),2,CRA 5 CALLE 49,HOSPITAL MILITAR CENTRAL,Nov-21,-74.062332334191,4.6355463464712
PromoAmbiental (ASE01),3,CALLE 36 CRQ 7,ECOPETROL,Nov-21,-74.066536664532,4.6235896163923
PromoAmbiental (ASE01),3,CRA 3 CALLE 30,UNIVERSIDAD DISTRITAL,Nov-21,-74.064498147586,4.6138827310524
PromoAmbiental (ASE01),17,CRA 13 CALLE 19,MONSERRATE- TELESFERICO,Nov-21,-74.061712834967,4.6026321799433
PromoAmbiental (ASE01),2,CALLE 82 CRA 16,CLINICA EL COUNTRY,Nov-21,-74.0593199,4.6678352931289
PromoAmbiental (ASE01),2,CL 85 # 15,CARULLA COUNTRY,Nov-21,-74.055371517482,4.6697642566862
PromoAmbiental (ASE01),2,CALLE 98 No. 9,RESTAURANTES,Nov-21,-74.044289306871,4.6800887191563
PromoAmbiental (ASE01),1,CRA 11 CALLE 100,UNIVERSIDAD MILITAR,Nov-21,-74.043296770059,4.6827889793868
PromoAmbiental (ASE01),2,8A No. 101-33,ESCUELA DE INTELIGENCIA,Nov-21,-74.0417806,4.6816395034355
PromoAmbiental (ASE01),1,AV 19 # 101,CARULLA 102,Nov-21,-74.054165593129,4.6864277034355
PromoAmbiental (ASE01),1,CALLE 110 No. 9B,CARULLA,Nov-21,-74.040538996565,4.691046
PromoAmbiental (ASE01),1,CALLE 110 CRA 11,PLANTA ACUEDUCTO USAQUEN,Nov-21,-74.040303103436,4.6907711051533
PromoAmbiental (ASE01),1,CRA 7 CALLE 116,HACIENDA SANTA BARBARA,Nov-21,-74.035619,4.6903303051533
PromoAmbiental (ASE01),1,CALLE 125 No. 20,CARULLA SANTA BARBARA,Nov-21,-74.052485634355,4.7051360948467
